name;description;code;user_id;supplier_id;category_id
BotiquÇðn Neceser Lifar;;120;1.0;1.0;3
Bujes Porta Culatin Hq;;121;1.0;1.0;3
Bulones De 10X40 Con Tuercas Y Arandelas;;122;1.0;1.0;3
Bulones De 10X80 Con Tuercas Y Arandelas;;123;1.0;1.0;3
Caballete Para Sacar Muestra ;;124;1.0;1.0;3
Caballetes ;;125;1.0;1.0;3
Caballetes Para Barras ;;126;1.0;1.0;3
Caballetes Para Desarmar Tubo Interior ;;127;1.0;1.0;3
Cabeza De InyecciÇün ;;128;1.0;1.0;3
Cabeza De Tubo;;129;1.0;1.0;3
Cable Para Prolongador  Tipo Talle 40 Mts;;130;1.0;1.0;3
Cable Subterraneo;;131;1.0;1.0;3
Cable Tipo Taller X 13 Mts 4 X 4 Mm;;132;1.0;1.0;3
Cabo De Vida Doble;;133;1.0;1.0;3
Cadena De Seguridad;;134;1.0;1.0;3
Cadena De Seguridad X Mts;;135;1.0;1.0;3
Cadena De Seguridad X Paquete;;136;1.0;1.0;3
Cadena Para Ruedas ;;137;1.0;1.0;3
Cadenas ;;138;1.0;1.0;3
Cadenas Con Ganchos;;139;1.0;1.0;3
CafÇ¸ X Caja;;140;1.0;1.0;3
Caja De Tubo Completa;;141;1.0;1.0;3
Caja De Tyveck X 25 Unid. L/G;;142;1.0;1.0;3
Cajones Con Respuesto (Tubos, Cabez Inyectora, Bomba De Agua);;143;1.0;1.0;3
Calibre Metalico;;144;1.0;1.0;3
Calzado De Seguridad ;;145;1.0;1.0;3
Calzado De Seguridad Kamet N¶ø 41 (Carlos Martinez);;146;1.0;1.0;3
Calzado De Seguridad Kamet Talle 40 (Acevedo);;147;1.0;1.0;3
Calzado De Seguridad Kamet Talle 40 (Calpanchay);;148;1.0;1.0;3
Calzado Kamet 41 ;;149;1.0;1.0;3
Calzado Kamet 42 ;;150;1.0;1.0;3
Calzoncillo Primera Piel (Avecedo);;151;1.0;1.0;3
Calzoncillo Primera Piel (Calpanchay);;152;1.0;1.0;3
Camisa De Trabajo (Acevedo);;153;1.0;1.0;3
Camisa De Trabajo (Calpanchay);;154;1.0;1.0;3
Camiseta Primera Piel (Acevedo);;155;1.0;1.0;3
Camiseta Primera Piel (Calpanchay);;156;1.0;1.0;3
Campera (Tomas);;157;1.0;1.0;3
Campera Para Javier Aybar;;158;1.0;1.0;3
Camperas Polares;;159;1.0;1.0;3
Candado Nq 24895;;160;1.0;1.0;3
Canios Para Fin De Pozo Con Tapas ;;161;1.0;1.0;3
